iter	Passed	Remaining
0	6207	3097615
1	11577	2882714
2	18135	3004412
3	24968	3096045
4	31871	3155281
5	38930	3205245
6	46699	3288964
7	54168	3331361
8	60907	3322845
9	68479	3355477
10	75367	3350432
11	82042	3336382
12	89239	3343055
13	96321	3343736
14	104084	3365385
15	111661	3377767
16	118886	3377783
17	126713	3393093
18	134248	3398603
19	141089	3386146
20	147162	3356715
21	153866	3343092
22	160014	3318567
23	166181	3295926
24	173034	3287664
25	179208	3267112
26	186617	3269254
27	193261	3257839
28	199466	3239616
29	205017	3211941
30	211479	3199482
31	216905	3172247
32	223391	3161331
33	229574	3146525
34	236556	3142821
35	242658	3127600
36	249942	3127664
37	257934	3135934
38	265423	3137442
39	272308	3131551
40	280099	3135749
41	287107	3130840
42	294173	3126451
43	301878	3128559
44	308662	3120920
45	313888	3097939
46	320146	3085671
47	325347	3063684
48	329991	3037267
49	336430	3027876
50	343372	3023020
51	349542	3011443
52	355801	3000819
53	363797	3004700
54	370608	2998560
55	377708	2994690
56	386014	3000079
57	393649	2999881
58	400752	2995456
59	406552	2981385
60	412069	2965551
61	419418	2962989
62	426812	2960586
63	433063	2950246
64	441165	2952417
65	448849	2951528
66	456443	2949851
67	463536	2944817
68	470766	2940585
69	478347	2938419
70	484511	2927543
71	490575	2916201
72	497179	2908160
73	504663	2905225
74	512357	2903357
75	519781	2899831
76	526680	2893323
77	535095	2895004
78	543481	2896275
79	551088	2893216
80	557879	2885818
81	564519	2877673
82	571700	2872278
83	578173	2863337
84	584745	2854932
85	592098	2850336
86	598826	2842706
87	606010	2837231
88	613816	2834589
89	620367	2826118
90	625902	2813120
91	632176	2803563
92	639519	2798757
93	647044	2794681
94	654220	2789043
95	660346	2778957
96	665005	2762857
97	671086	2752822
98	677664	2744885
99	684230	2736922
100	691654	2732377
101	698930	2727200
102	706776	2724178
103	714092	2719043
104	720563	2710692
105	725768	2697667
106	731209	2685658
107	738275	2679668
108	744837	2671846
109	752408	2667630
110	759917	2663134
111	767288	2658106
112	774623	2652915
113	781653	2646651
114	788798	2640760
115	796958	2638207
116	804771	2634421
117	813159	2632432
118	820366	2626550
119	828623	2623974
120	835773	2617837
121	841936	2608623
122	848039	2599275
123	854803	2591983
124	862414	2587243
125	868817	2578870
126	875613	2571682
127	883130	2566597
128	889059	2556907
129	896218	2550776
130	903190	2544102
131	909704	2536146
132	915173	2525328
133	920137	2513211
134	926457	2504865
135	932868	2496796
136	940978	2493249
137	948793	2488865
138	956862	2485088
139	965703	2483237
140	973555	2478769
141	981023	2473283
142	988722	2468348
143	995954	2462220
144	1003916	2457865
145	1011320	2452107
146	1019126	2447289
147	1026181	2440648
148	1034713	2437479
149	1043344	2434471
150	1050702	2428445
151	1056921	2419793
152	1063214	2411342
153	1069950	2403914
154	1075980	2394923
155	1083143	2388470
156	1089648	2380569
157	1096644	2373748
158	1103745	2367152
159	1111502	2361942
160	1118415	2354924
161	1126737	2350846
162	1134470	2345499
163	1142770	2341286
164	1151119	2337120
165	1156819	2327577
166	1163332	2319699
167	1169723	2311597
168	1176259	2303797
169	1181090	2292705
170	1186511	2282820
171	1192351	2273785
172	1197850	2264145
173	1203789	2255375
174	1210059	2247253
175	1215098	2236885
176	1222472	2230840
177	1230268	2225541
178	1237869	2219866
179	1245153	2213606
180	1252973	2208279
181	1260123	2201754
182	1265889	2192824
183	1272978	2186202
184	1280500	2180311
185	1287281	2173152
186	1294055	2165985
187	1301711	2160286
188	1309010	2153980
189	1316611	2148155
190	1324563	2142879
191	1332006	2136760
192	1338997	2129908
193	1345595	2122434
194	1352097	2114818
195	1359465	2108558
196	1366582	2101901
197	1374714	2096786
198	1381843	2090125
199	1387176	2080765
200	1393253	2072550
201	1399764	2064999
202	1406025	2057092
203	1413972	2051646
204	1420634	2044327
205	1428352	2038522
206	1437003	2034020
207	1444631	2028040
208	1451967	2021639
209	1458586	2014238
210	1465339	2007028
211	1473265	2001417
212	1480670	1995081
213	1487964	1988588
214	1495934	1982983
215	1503350	1976627
216	1509990	1969249
217	1516358	1961528
218	1523664	1955021
219	1530208	1947537
220	1536986	1940358
221	1543983	1933456
222	1549972	1925301
223	1555555	1916666
224	1560429	1907191
225	1567246	1900113
226	1572300	1890915
227	1578405	1883009
228	1584060	1874586
229	1590745	1867396
230	1596091	1858652
231	1602404	1851052
232	1608744	1843496
233	1615528	1836455
234	1622545	1829678
235	1630367	1823800
236	1637846	1817525
237	1645248	1811156
238	1653448	1805648
239	1661761	1800241
240	1669999	1794729
241	1676635	1787487
242	1683490	1780481
243	1689536	1772628
244	1696539	1765785
245	1704373	1759800
246	1711833	1753416
247	1720097	1747841
248	1727424	1741298
249	1735474	1735474
250	1741897	1728017
251	1747595	1719855
252	1754050	1712452
253	1760977	1705514
254	1767593	1698275
255	1774325	1691153
256	1781280	1684246
257	1789571	1678590
258	1796748	1671877
259	1802759	1664085
260	1808990	1656508
261	1816204	1649834
262	1823600	1643320
263	1829132	1635133
264	1833986	1626365
265	1839862	1618525
266	1844932	1609997
267	1851804	1603055
268	1858565	1596017
269	1864535	1588307
270	1871683	1581607
271	1878248	1574414
272	1884794	1567210
273	1891471	1560118
274	1898682	1553467
275	1905189	1546240
276	1912405	1539589
277	1919685	1532986
278	1926953	1526368
279	1935522	1520767
280	1943323	1514547
281	1950312	1507688
282	1957521	1500997
283	1964605	1494206
284	1971518	1487286
285	1977842	1479923
286	1985661	1473679
287	1993058	1467112
288	1999328	1459717
289	2004873	1451804
290	2009755	1443432
291	2015749	1435876
292	2021492	1428153
293	2026711	1420076
294	2031185	1411501
295	2037339	1404112
296	2044002	1397079
297	2050555	1389974
298	2056645	1382561
299	2063988	1375992
300	2070588	1368927
301	2077432	1362025
302	2084208	1355079
303	2090955	1348115
304	2097601	1341089
305	2104641	1334315
306	2111746	1327579
307	2117936	1320272
308	2124093	1312951
309	2131618	1306476
310	2139062	1299944
311	2145275	1292666
312	2151843	1285606
313	2156988	1277706
314	2162767	1270196
315	2169160	1263055
316	2174517	1255321
317	2178732	1246947
318	2183015	1238639
319	2187408	1230417
320	2192579	1222653
321	2198184	1215145
322	2204547	1208064
323	2209943	1200462
324	2215290	1192848
325	2220177	1185002
326	2226393	1177877
327	2233015	1170971
328	2239621	1164058
329	2245584	1156816
330	2252196	1149912
331	2259569	1143396
332	2267047	1136927
333	2275586	1130980
334	2282833	1124380
335	2290822	1118139
336	2297191	1111104
337	2305815	1105154
338	2312234	1098140
339	2320188	1091853
340	2326068	1084589
341	2334767	1078635
342	2342765	1072344
343	2350396	1065877
344	2358231	1059495
345	2365690	1052937
346	2371277	1045548
347	2377354	1038384
348	2383250	1031148
349	2389355	1024009
350	2395579	1016927
351	2402035	1009946
352	2408431	1002944
353	2415638	996280
354	2422879	989626
355	2429102	982558
356	2434885	975318
357	2439836	967756
358	2446540	960897
359	2454246	954429
360	2461051	947606
361	2468034	940852
362	2475647	934335
363	2483180	927781
364	2489908	920924
365	2497549	914403
366	2504779	907726
367	2512128	901089
368	2518542	894116
369	2525700	887408
370	2532264	880490
371	2538823	873573
372	2543091	865878
373	2550019	859097
374	2556534	852178
375	2561157	844637
376	2567647	837720
377	2573285	830531
378	2580130	823735
379	2587383	817068
380	2595037	810523
381	2602513	803917
382	2609604	797189
383	2616787	790488
384	2623985	783787
385	2631595	777206
386	2638431	770394
387	2644678	763412
388	2652168	756788
389	2659868	750219
390	2667071	743505
391	2675186	737041
392	2681926	730193
393	2688319	723253
394	2696265	716728
395	2703049	709891
396	2709746	703032
397	2715981	696055
398	2721391	688873
399	2728592	682148
400	2735601	675372
401	2742659	668608
402	2749317	661746
403	2756804	655082
404	2763870	648315
405	2769888	641304
406	2777314	634619
407	2784113	627790
408	2792142	621234
409	2798223	614244
410	2805151	607441
411	2812477	600723
412	2819531	593944
413	2826241	587093
414	2834058	580469
415	2842050	573875
416	2847727	566813
417	2853925	559860
418	2859483	552787
419	2864712	545659
420	2869471	538451
421	2875714	531530
422	2882607	524730
423	2889090	517855
424	2895824	511027
425	2903557	504373
426	2911062	497675
427	2919105	491064
428	2925458	484166
429	2933138	477487
430	2940195	470704
431	2949218	464228
432	2955522	457321
433	2963044	450601
434	2969195	443672
435	2976634	436937
436	2983569	430125
437	2991717	423485
438	2998737	416681
439	3005931	409899
440	3012585	403044
441	3019022	396161
442	3024500	389156
443	3028966	382031
444	3034277	375023
445	3039688	368033
446	3044566	360988
447	3049597	353971
448	3055480	347059
449	3061827	340203
450	3068681	333404
451	3075948	326649
452	3083260	319896
453	3090145	313098
454	3097911	306386
455	3105378	299641
456	3112962	292904
457	3119750	286090
458	3127819	279391
459	3134685	272581
460	3142601	265859
461	3149343	259036
462	3155746	252187
463	3162248	245346
464	3168088	238458
465	3175487	231687
466	3182866	224913
467	3191026	218189
468	3197107	211322
469	3203772	204496
470	3209225	197595
471	3215064	190724
472	3221809	183908
473	3229093	177123
474	3235695	170299
475	3242736	163499
476	3248669	156644
477	3254634	149794
478	3260876	142961
479	3267813	136158
480	3274231	129335
481	3281097	122530
482	3287374	115704
483	3294428	108906
484	3303178	102160
485	3310838	95373
486	3316293	88525
487	3322675	81705
488	3328816	74881
489	3336014	68081
490	3343936	61294
491	3351861	54501
492	3359380	47699
493	3366728	40891
494	3373744	34078
495	3379440	27253
496	3385165	20433
497	3391906	13622
498	3399691	6813
499	3407066	0
