iter	MultiRMSE
0	53.91042345
1	50.21295423
2	46.87826852
3	43.91556213
4	41.30272126
5	38.90594929
6	36.80059102
7	34.97075655
8	33.27308099
9	31.80223386
10	30.47592649
11	29.27978182
12	28.19509766
13	27.24124775
14	26.35880985
15	25.55275974
16	24.8192722
17	24.16845655
18	23.56169531
19	23.01526808
20	22.51818321
21	22.04294012
22	21.58851179
23	21.18752517
24	20.80441899
25	20.49543727
26	20.15108889
27	19.8436488
28	19.58706889
29	19.33288723
30	19.10134204
31	18.83674464
32	18.59138716
33	18.36321568
34	18.1936545
35	18.01124728
36	17.81978886
37	17.63888281
38	17.4591446
39	17.31083833
40	17.18396525
41	17.05389163
42	16.90600287
43	16.799095
44	16.65258118
45	16.53155795
46	16.458651
47	16.31754849
48	16.18803534
49	16.12324703
50	16.03727847
51	15.92519622
52	15.84497144
53	15.7215889
54	15.64280594
55	15.56795249
56	15.49511137
57	15.40798495
58	15.35136658
59	15.24808169
60	15.14096183
61	15.04994211
62	14.98273599
63	14.91150575
64	14.84886837
65	14.78989937
66	14.69812333
67	14.62132812
68	14.56309949
69	14.50370856
70	14.43117968
71	14.3612907
72	14.3019487
73	14.24501852
74	14.18685141
75	14.14682047
76	14.08715118
77	14.04891188
78	14.00058031
79	13.93743161
80	13.8817189
81	13.83574612
82	13.78886975
83	13.7379806
84	13.6833785
85	13.63248089
86	13.58963183
87	13.55714258
88	13.50976575
89	13.47233519
90	13.42556549
91	13.38502244
92	13.33146135
93	13.29090184
94	13.24931636
95	13.20033907
96	13.16740753
97	13.13393922
98	13.10452075
99	13.07011423
100	13.02416455
101	12.99586786
102	12.96539878
103	12.92597775
104	12.88085487
105	12.8350247
106	12.79985775
107	12.77872858
108	12.72637714
109	12.69093144
110	12.65186063
111	12.62166809
112	12.59246
113	12.54788672
114	12.51887087
115	12.48275131
116	12.44494239
117	12.42048489
118	12.39147537
119	12.35914351
120	12.32629054
121	12.28824167
122	12.25795182
123	12.22193274
124	12.19633849
125	12.1603232
126	12.13658991
127	12.10036789
128	12.05997822
129	12.03038245
130	12.0011883
131	11.96906885
132	11.93632751
133	11.90930716
134	11.88115655
135	11.86137408
136	11.83153377
137	11.80214296
138	11.78081221
139	11.7536285
140	11.72715685
141	11.6958657
142	11.67038085
143	11.64388081
144	11.61605597
145	11.59381256
146	11.57015128
147	11.54626179
148	11.51461636
149	11.48802383
150	11.46151177
151	11.44002859
152	11.41546984
153	11.389956
154	11.36626028
155	11.35011333
156	11.3264989
157	11.30511627
158	11.28798236
159	11.26513044
160	11.23777327
161	11.21863965
162	11.20571154
163	11.19127053
164	11.16556326
165	11.14729806
166	11.12632655
167	11.10450129
168	11.0809512
169	11.06607269
170	11.04459218
171	11.02915191
172	11.00806198
173	10.98723769
174	10.96544758
175	10.9485581
176	10.93102318
177	10.9133946
178	10.89033744
179	10.87477725
180	10.85490425
181	10.83533212
182	10.82408587
183	10.80519574
184	10.78400574
185	10.76873157
186	10.75097168
187	10.73379233
188	10.70300761
189	10.68802978
