iter	Passed	Remaining
0	136	136587
1	209	104612
2	276	91806
3	340	84822
4	415	82673
5	491	81375
6	564	80106
7	638	79131
8	712	78449
9	777	76961
10	844	75968
11	940	77439
12	1013	76931
13	1081	76197
14	1178	77371
15	1244	76550
16	1313	75948
17	1392	75978
18	1470	75907
19	1539	75432
20	1605	74830
21	1665	74045
22	1740	73921
23	1807	73504
24	1873	73081
25	1951	73096
26	2026	73042
27	2105	73089
28	2175	72837
29	2243	72539
30	2317	72426
31	2388	72243
32	2452	71878
33	2510	71336
34	2578	71087
35	2644	70820
36	2714	70663
37	2782	70451
38	2842	70036
39	2908	69815
40	2967	69417
41	3028	69082
42	3093	68857
43	3160	68665
44	3236	68694
45	3313	68720
46	3391	68764
47	3459	68613
48	3541	68728
49	3617	68735
50	3684	68565
51	3757	68506
52	3828	68406
53	3898	68290
54	3974	68291
55	4040	68105
56	4105	67916
57	4161	67594
58	4222	67347
59	4289	67208
60	4347	66918
61	4416	66815
62	4479	66616
63	4548	66525
64	4620	66459
65	4752	67252
66	4832	67292
67	4906	67250
68	4980	67197
69	5050	67099
70	5120	67003
71	5181	66783
72	5251	66685
73	5313	66491
74	5378	66338
75	5444	66190
76	5513	66091
77	5579	65950
78	5646	65823
79	5704	65607
80	5763	65395
81	5825	65221
82	5888	65058
83	5962	65019
84	6035	64970
85	6109	64931
86	6202	65088
87	6283	65119
88	6360	65102
89	6435	65069
90	6508	65018
91	6587	65017
92	6659	64950
93	6723	64806
94	6794	64723
95	6864	64638
96	6929	64509
97	7004	64470
98	7080	64442
99	7142	64285
100	7204	64128
101	7269	64004
102	7330	63839
103	7392	63686
104	7461	63597
105	7526	63477
106	7586	63311
107	7658	63251
108	7721	63121
109	7790	63032
110	7859	62949
111	7931	62886
112	7994	62756
113	8056	62612
114	8150	62726
115	8229	62717
116	8304	62671
117	8389	62709
118	8463	62662
119	8532	62574
120	8602	62493
121	8668	62385
122	8735	62288
123	8802	62183
124	8868	62077
125	8934	61971
126	9003	61889
127	9068	61776
128	9133	61666
129	9204	61598
130	9269	61490
131	9334	61382
132	9399	61275
133	9460	61137
134	9526	61040
135	9590	60929
136	9648	60780
137	9718	60704
138	9788	60629
139	9853	60527
140	9910	60378
141	9975	60277
142	10039	60168
143	10104	60066
144	10162	59923
145	10227	59820
146	10291	59716
147	10356	59619
148	10423	59533
149	10490	59447
150	10564	59399
151	10634	59331
152	10705	59264
153	10773	59185
154	10839	59091
155	10904	58994
156	10970	58906
157	11031	58787
158	11103	58732
159	11167	58631
160	11239	58568
161	11316	58539
162	11425	58669
163	11533	58793
164	11632	58869
165	11711	58841
166	11802	58870
167	11944	59151
168	12021	59111
169	12093	59046
170	12169	58995
171	12241	58928
172	12303	58816
173	12376	58751
174	12438	58636
175	12501	58527
176	12568	58441
177	12652	58426
178	12734	58407
179	12802	58322
180	12877	58268
181	12954	58224
182	13036	58203
183	13136	58256
184	13220	58242
185	13308	58240
186	13391	58220
187	13465	58157
188	13533	58070
189	13603	57995
190	13699	58026
191	13767	57937
192	13835	57852
193	13904	57769
194	13976	57698
195	14044	57612
196	14108	57507
197	14171	57401
198	14226	57262
199	14298	57192
200	14376	57149
201	14450	57087
202	14579	57240
203	14660	57203
204	14732	57132
205	14799	57043
206	14872	56976
207	14938	56881
208	15010	56811
209	15086	56752
210	15156	56676
211	15221	56577
212	15299	56528
213	15373	56466
214	15453	56422
215	15533	56381
216	15605	56307
217	15674	56227
218	15739	56129
219	15801	56023
220	15863	55918
221	15941	55866
222	16011	55788
223	16089	55738
224	16190	55766
225	16259	55684
226	16338	55637
227	16417	55588
228	16496	55542
229	16577	55498
230	16643	55406
231	16720	55351
232	16797	55294
233	16865	55209
234	16936	55134
235	16998	55027
236	17067	54946
237	17139	54875
238	17209	54795
239	17277	54711
240	17337	54601
241	17414	54545
242	17485	54470
243	17602	54539
244	17687	54507
245	17780	54497
246	17872	54486
247	17952	54436
248	18031	54383
249	18094	54284
250	18234	54413
251	18345	54454
252	18444	54458
253	18520	54394
254	18597	54333
255	18673	54268
256	18756	54225
257	18833	54164
258	18905	54087
259	18976	54010
260	19051	53942
261	19120	53858
262	19195	53790
263	19269	53722
264	19335	53630
265	19399	53530
266	19463	53433
267	19523	53325
268	19585	53222
269	19651	53132
270	19712	53026
271	19785	52954
272	19853	52869
273	19921	52785
274	19994	52711
275	20052	52602
276	20117	52508
277	20177	52402
278	20256	52346
279	20326	52267
280	20390	52172
281	20448	52065
282	20513	51971
283	20582	51889
284	20641	51785
285	20710	51704
286	20778	51621
287	20840	51522
288	20900	51420
289	20970	51342
290	21038	51257
291	21108	51179
292	21171	51086
293	21242	51010
294	21298	50899
295	21361	50806
296	21430	50727
297	21494	50634
298	21559	50544
299	21619	50445
300	21677	50341
301	21742	50251
302	21809	50168
303	21876	50086
304	21936	49985
305	22002	49900
306	22062	49803
307	22131	49724
308	22200	49646
309	22267	49563
310	22334	49481
311	22392	49379
312	22460	49298
313	22526	49214
314	22589	49122
315	22654	49036
316	22725	48962
317	22793	48884
318	22850	48780
319	22921	48707
320	22986	48623
321	23047	48528
322	23115	48449
323	23185	48375
324	23251	48291
325	23321	48215
326	23379	48116
327	23453	48051
328	23524	47978
329	23580	47875
330	23649	47798
331	23716	47718
332	23784	47639
333	23851	47560
334	23919	47481
335	23989	47408
336	24045	47305
337	24118	47238
338	24182	47152
339	24255	47083
340	24312	46984
341	24375	46898
342	24435	46805
343	24496	46714
344	24553	46615
345	24625	46546
346	24682	46448
347	24751	46373
348	24820	46298
349	24883	46211
350	24944	46122
351	25008	46038
352	25072	45955
353	25136	45869
354	25200	45787
355	25271	45716
356	25342	45644
357	25411	45571
358	25481	45498
359	25554	45429
360	25623	45354
361	25681	45261
362	25743	45175
363	25811	45098
364	25881	45026
365	25956	44962
366	26023	44884
367	26092	44811
368	26158	44731
369	26225	44654
370	26289	44571
371	26346	44476
372	26405	44386
373	26465	44298
374	26523	44206
375	26592	44132
376	26662	44059
377	26719	43967
378	26788	43894
